날짜,제품,카테고리,수량,단가,매출액,지역
2026-01-05,무선 이어폰,전자기기,45,89000,4005000,서울
2026-01-05,보조배터리,전자기기,32,35000,1120000,서울
2026-01-05,텀블러,생활용품,78,25000,1950000,부산
2026-01-08,무선 이어폰,전자기기,52,89000,4628000,서울
2026-01-08,블루투스 스피커,전자기기,18,120000,2160000,대구
2026-01-08,텀블러,생활용품,65,25000,1625000,서울
2026-01-12,보조배터리,전자기기,41,35000,1435000,부산
2026-01-12,무선 충전기,전자기기,29,45000,1305000,서울
2026-01-12,에코백,생활용품,93,15000,1395000,대구
2026-01-15,무선 이어폰,전자기기,38,89000,3382000,부산
2026-01-15,블루투스 스피커,전자기기,22,120000,2640000,서울
2026-01-15,텀블러,생활용품,84,25000,2100000,서울
2026-01-19,보조배터리,전자기기,55,35000,1925000,대구
2026-01-19,에코백,생활용품,110,15000,1650000,서울
2026-01-19,무선 충전기,전자기기,33,45000,1485000,부산
2026-01-22,무선 이어폰,전자기기,61,89000,5429000,서울
2026-01-22,텀블러,생활용품,72,25000,1800000,대구
2026-01-22,블루투스 스피커,전자기기,15,120000,1800000,부산
2026-01-26,보조배터리,전자기기,48,35000,1680000,서울
2026-01-26,에코백,생활용품,88,15000,1320000,서울
2026-01-26,무선 충전기,전자기기,37,45000,1665000,대구
2026-02-01,무선 이어폰,전자기기,70,89000,6230000,서울
2026-02-01,텀블러,생활용품,95,25000,2375000,부산
2026-02-01,보조배터리,전자기기,43,35000,1505000,서울
2026-02-05,블루투스 스피커,전자기기,25,120000,3000000,서울
2026-02-05,에코백,생활용품,120,15000,1800000,대구
2026-02-05,무선 충전기,전자기기,31,45000,1395000,부산
2026-02-10,무선 이어폰,전자기기,58,89000,5162000,대구
2026-02-10,텀블러,생활용품,67,25000,1675000,서울
2026-02-10,보조배터리,전자기기,39,35000,1365000,서울
